fband	year
88004570	2019
88004570	2019
88004570	2019
88004749	2019
88004754	2019
88004754	2019
88004754	2019
156181153	2019
156181153	2019
156181153	2019
212110278	2019
212110281	2019
212110285	2019
212110288	2019
212110294	2019
212110294	2019
212110294	2019
232146942	2019
232146953	2019
235120680	2019
235120680	2019
240134898	2019
262125490	2019
263114113	2019
263114113	2019
272106655	2019
272106655	2019
272106661	2019
272106697	2019
272106697	2019
272106708	2019
272106711	2019
272106728	2019
272106728	2019
272106728	2019
272106817	2019
272106817	2019
272106822	2019
272106822	2019
272106822	2019
272106905	2019
272106905	2019
272106913	2019
272106913	2019
272106913	2019
272107018	2019
272107018	2019
272107161	2019
272107161	2019
272107217	2019
272107217	2019
272107217	2019
272107284	2019
272107284	2019
272107290	2019
272107290	2019
272107361	2019
272107361	2019
272107361	2019
272107436	2019
272107450	2019
272107450	2019
272107599	2019
272107599	2019
272107698	2019
272107698	2019
272107698	2019
272107699	2019
272107739	2019
272107739	2019
272107739	2019
272107748	2019
272107748	2019
272107748	2019
272107750	2019
272107786	2019
272107786	2019
272107786	2019
272107790	2019
272107803	2019
272107803	2019
272107805	2019
272107805	2019
272107805	2019
272107809	2019
272107809	2019
272107809	2019
272107842	2019
272107855	2019
272107855	2019
272107855	2019
278171869	2019
278171870	2019
278171870	2019
278171870	2019
278171871	2019
278171871	2019
278171871	2019
278171872	2019
278171872	2019
278171872	2019
278171873	2019
278171873	2019
278171873	2019
278171875	2019
278171875	2019
278171875	2019
278171876	2019
278171876	2019
278171877	2019
278171877	2019
278171877	2019
278171896	2019
278171896	2019
278171896	2019
278172094	2019
278172095	2019
278172096	2019
278172097	2019
278172100	2019
278172145	2019
278172145	2019
278172145	2019
278172146	2019
278172146	2019
278172147	2019
278172147	2019
278172147	2019
278172148	2019
278172149	2019
278172149	2019
278172149	2019
278172150	2019
278172150	2019
278172150	2019
278172151	2019
278172151	2019
278172151	2019
278172152	2019
278172152	2019
278172152	2019
278172153	2019
278172153	2019
278172153	2019
278172154	2019
278172154	2019
278172154	2019
278172155	2019
278172155	2019
278172155	2019
278172156	2019
278172157	2019
278172157	2019
278172158	2019
278172158	2019
278172158	2019
278172159	2019
278172160	2019
278172160	2019
278172160	2019
278172162	2019
278172162	2019
278172162	2019
278172163	2019
278172163	2019
278172163	2019
278172224	2019
278172224	2019
278172224	2019
278172225	2019
278172227	2019
278172228	2019
278172229	2019
278172230	2019
278172231	2019
278172231	2019
278172232	2019
278172232	2019
278172233	2019
278172233	2019
278172233	2019
278172234	2019
278172235	2019
278172235	2019
278172235	2019
278172401	2019
278172401	2019
278172402	2019
278172402	2019
278172403	2019
278172403	2019
278172404	2019
278172404	2019
278172405	2019
278172405	2019
278172406	2019
278172406	2019
278172407	2019
278172407	2019
278172408	2019
278172408	2019
278172409	2019
278172410	2019
278172410	2019
278172411	2019
278172411	2019
278172412	2019
278172412	2019
278172413	2019
278172413	2019
278172419	2019
281128401	2019
281128402	2019
281128402	2019
281128402	2019
281128403	2019
281128403	2019
281128403	2019
281128404	2019
281128404	2019
281128405	2019
281128601	2019
281128601	2019
281128601	2019
281128602	2019
281128602	2019
281128602	2019
281128603	2019
281128603	2019
281128603	2019
281128604	2019
281128604	2019
281128654	2019
281128701	2019
281128701	2019
281128701	2019
281128702	2019
281128702	2019
281128703	2019
281128704	2019
281128704	2019
281128704	2019
281128705	2019
281128706	2019
281128707	2019
88004749	2020
88004754	2020
88004754	2020
156181153	2020
212110278	2020
212110288	2020
232146953	2020
235120646	2020
235120646	2020
240150375	2020
240150376	2020
240150377	2020
240150377	2020
240150378	2020
240150379	2020
240150379	2020
240150380	2020
240150381	2020
240150381	2020
240150381	2020
240150382	2020
240150382	2020
240150383	2020
240150383	2020
240150384	2020
240150385	2020
240150386	2020
240150387	2020
240150388	2020
240150388	2020
240150389	2020
240150391	2020
240150391	2020
240150392	2020
240150393	2020
240150393	2020
240150394	2020
240150396	2020
240150396	2020
240150397	2020
240150397	2020
240150399	2020
272107217	2020
272107217	2020
272107361	2020
272107361	2020
272107378	2020
272107748	2020
272107748	2020
272107790	2020
272107805	2020
272107805	2020
278171872	2020
278171872	2020
278171875	2020
278171875	2020
278171877	2020
278171877	2020
278172095	2020
278172096	2020
278172145	2020
278172145	2020
278172147	2020
278172147	2020
278172150	2020
278172151	2020
278172154	2020
278172154	2020
278172156	2020
278172156	2020
278172163	2020
278172163	2020
278172231	2020
278172313	2020
278172313	2020
278172408	2020
278172408	2020
278172411	2020
278172469	2020
278172469	2020
281128402	2020
281128402	2020
281128404	2020
281128404	2020
281128450	2020
281128450	2020
281128451	2020
281128451	2020
281128548	2020
281128548	2020
281128548	2020
281128549	2020
281128549	2020
281128550	2020
281128550	2020
281128551	2020
281128551	2020
281128552	2020
281128552	2020
281128553	2020
281128553	2020
281128554	2020
281128555	2020
281128555	2020
281128556	2020
281128556	2020
281128557	2020
281128558	2020
281128558	2020
281128559	2020
281128559	2020
281128560	2020
281128560	2020
281128561	2020
281128561	2020
281128562	2020
281128562	2020
281128564	2020
281128564	2020
281128598	2020
281128598	2020
281128602	2020
281128602	2020
281128627	2020
281128645	2020
281128701	2020
281128703	2020
281128704	2020
281128705	2020
281128737	2020
281128805	2020
281128816	2020
281128816	2020
281174201	2020
281174201	2020
281174202	2020
