uby	year	file	unit	nest	unit_box	egg	egg_mass	lay_order	L	T	A	E	eggLengthpx	len_IJ	wid_IJ	len_redo	wid_redo	exclude	note	fband	mband	ci_doy	clutch_size	max_brood	d6_brood	d6_mass	num_fled	nest_exp	nest_treat	f_age	f_mass1	f_wing1	f_hb1	m_mass1	m_wing1	m_hb1	gen_mother	fem_birth_yr	fem_birth_loc	epy_in_nest	wpy_in_nest	unk_in_nest	num_pat_knwn	pointedness	elongation	polarasymmetry	volume
2_32_2021	2021	2_32	2	32	2_32	E			1.2145	0.7255	0.21452	0.37833	403	19.607	14.481					281174525		137	6	5			4	Carryover	Prev_Cort	ASY	25.5	118	29.4														
2_32_2021	2021	2_32	2	32	2_32	F			1.2118	0.75448	0.21184	0.32541	406	19.746	15.369					281174525		137	6	5			4	Carryover	Prev_Cort	ASY	25.5	118	29.4														
2_32_2021	2021	2_32	2	32	2_32	B			1.1178	0.7129	0.1178	0.40271	412	20.046	14.395					281174525		137	6	5			4	Carryover	Prev_Cort	ASY	25.5	118	29.4														
2_32_2021	2021	2_32	2	32	2_32	C			1.1202	0.663	0.1202	0.5083	413	20.116	13.168					281174525		137	6	5			4	Carryover	Prev_Cort	ASY	25.5	118	29.4														
2_32_2021	2021	2_32	2	32	2_32	D			1.2406	0.6947	0.2406	0.4394	414	20.16	14.358					281174525		137	6	5			4	Carryover	Prev_Cort	ASY	25.5	118	29.4														
2_32_2021	2021	2_32	2	32	2_32	A			1.2391	0.73244	0.23906	0.36531	434	21.115	15.828					281174525		137	6	5			4	Carryover	Prev_Cort	ASY	25.5	118	29.4														
2_8_2021	2021	2_8	2	8	2_8	C			1.2281	0.74842	0.22815	0.33615	417	16.423	12.495					281174005	281174982	136	5	1			1	Cold_Snap	Cold_Control	SY	21.5	111	28.2	19.5	116	28.6								0.584110855	1.313878305	1.58171697	1.310294439
1_346_2020	2020	1_346	1	346	1_346	C			1.1486	0.78545	0.14855	0.27316	440	16.021	12.803					240150387		143	5	5	0	0	0	Validation	BDC	SY	27.5	113	27.4											0.562771957	1.262769261	1.216519059	1.327064801
1_127_2020	2020	1_127	1	127	1_127	E			1.2161	0.7147	0.2161	0.3992	280	17.405	12.749					281174517		145	5	5	4	27.8	0	CortDose	Control	SY	19	115	28.3							0	2	0	2	0.565349202	1.378215603	2.007180004	1.40898688
1_325_2020	2020	1_325	1	325	1_325	D			1.1893	0.72101	0.18935	0.38695	425	17.271	12.546					281128557		142	6	6	0	0	0	Validation	BDC	SY	19.5	112	28.9											0.575938131	1.356061869	1.667192109	1.462334866
2_44_2020	2020	2_44	2	44	2_44	B			1.2551	0.69044	0.2551	0.44835	278	18.036	12.787					281128816	272106957	143	5	4	4	37.6	0	CortDose	Cort	SY	21	110	29.2	19	125	28.3	281128707	2019	1_329	2	2	0	4	0.579346853	1.424121158	1.681335409	1.473800034
1_346_2020	2020	1_346	1	346	1_346	E			1.1872	0.80646	0.1872	0.23999	450	16.35	13.339					240150387		143	5	5	0	0	0	Validation	BDC	SY	27.5	113	27.4											0.560977433	1.226856346	1.315604192	1.482206417
1_366_2020	2020	1_366	1	366	1_366	C			1.1618	0.74255	0.16175	0.34671	433	17.277	13.126					278172150		137	5	5	0	0	0	Validation	BDC	ASY	22.5	117	28.4											0.571846091	1.347697775	1.341069116	1.48569686
2_92_2021	2021	2_92	2	92	2_92	D			1.2585	0.6693	0.2585	0.4941	337	18.503	12.59					281174803	281174702	135	7	1			1	Cold_Snap	Cold_Control	ASY	23.5	116	28.2	20	121	28.7								0.60374199	1.480293156	1.476892458	1.490045001
1_346_2020	2020	1_346	1	346	1_346	B			1.2356	0.75266	0.23559	0.32862	473	17.157	13.339					240150387		143	5	5	0	0	0	Validation	BDC	SY	27.5	113	27.4											0.561006344	1.300898692	1.754217363	1.496786872
1_429_2020	2020	1_429	1	429	1_429	D			1.1723	0.63973	0.17233	0.56316	529	19.14	12.622					240150392		146	6	6	0	0	0	Validation	BDA	SY	22	114	27.7											0.559338574	1.529748196	1.443728004	1.502350562
2_35_2020	2020	2_35	2	35	2_35	C			1.2597	0.69999	0.25966	0.4286	469	18.043	12.845					281174509	281128516	139	6	6	6	60.5	0	CortDose	Control	SY	22	116	28.6	19	119	29.1				1	5	0	6	0.573359938	1.398808916	1.817714464	1.517745244
1_437_2020	2020	1_437	1	437	1_437	E			1.2974	0.64138	0.29736	0.55913	536	19.328	12.943					240150375	240150398	137	5	5	0	0	0	Validation	BCA	SY	24.75	114	27.1											0.567862683	1.537334613	3.691508806	1.521821428
1_315_2020	2020	1_315	1	315	1_315	D			1.2308	0.73405	0.23079	0.3623	539	17.512	13.046					281128645		142	5	4	0	0	0	Validation	BDC	SY	19.5	117	27.4				278172227	2019	1_345					0.586759991	1.338801653	1.523680997	1.526970153
1_25_2021	2021	1_25	1	25	1_25	D	1.3		1.2331	0.6943	0.2331	0.4402	401	18.17	12.885					272108395	272107381	133	6	6			3	Cold_Snap	Cold_Control	SY	22.25	114	28.7	19	118	28.8								0.585868472	1.409274973	1.614373408	1.533053657
2_21_2020	2020	2_21	2	21	2_21	C			1.2325	0.62106	0.23251	0.61015	333	19.639	12.221					281128562	281128656	147	6	5	5	36.2	0	CortDose	Control	SY	21.5	114	29	21	123	29.8				2	2	0	4	0.596374712	1.606460644	1.356689593	1.541778902
2_31_2020	2020	2_31	2	31	2_31	B			1.2124	0.6747	0.2124	0.4821	397	18.701	12.737					88004754		136	5	5	0	0	0	CortDose	Control	ASY	23.5	121	28.3											0.557023355	1.463921738	1.582104088	1.544157021
1_371_2020	2020	1_371	1	371	1_371	D			1.2543	0.66661	0.25433	0.50013	491	18.775	12.948					281128701	272107009	134	6	6	0	0	0	Validation	BDC	ASY	23.75	115	28.7	22.5	124	29.3								0.571690183	1.465924369	1.989163646	1.546998828
2_12_2021	2021	2_12	2	12	2_12	D			1.3005	0.698	0.3005	0.4327	406	18.156	12.957					281174995		138	6	0			0	Cold_Snap		SY	18.25	122	28.2											0.609137004	1.403603205	1.781500233	1.550275765
2_6_2020	2020	2_6	2	6	2_6	C			1.2444	0.70359	0.2444	0.42128	515	18.125	13.008					281174502	281128744	139	5	4	4	48.3	0	CortDose	Cort	SY	23	113	28.7	18.5	119	28.5				1	2	0	3	0.581385645	1.393169114	1.642220332	1.555340981
2_126_2020	2020	2_126	2	126	2_126	D			1.1908	0.70053	0.19076	0.4275	491	18.178	12.72					281174701	281128625	151	6	5	5	54.3	0	CortDose	Control	SY	18.25	117	27.9	20	117	29.6				1	2	0	3	0.587738307	1.441766518	1.29246134	1.555349182
1_381_2020	2020	1_381	1	381	1_381	D			1.279	0.70975	0.279	0.40894	469	17.959	12.753					88004749		140	6	6	0	0	0	Validation	BDC	ASY	24.25	120	28.3											0.619933024	1.393146263	1.55399513	1.557611213
1_127_2020	2020	1_127	1	127	1_127	C			1.1795	0.7079	0.1795	0.4126	283	18.131	12.814					281174517		145	5	5	4	27.8	0	CortDose	Control	SY	19	115	28.3							0	2	0	2	0.577700792	1.407910147	1.338392671	1.563394967
1_346_2020	2020	1_346	1	346	1_346	D			1.2009	0.78586	0.20086	0.27249	456	16.869	13.349					240150387		143	5	5	0	0	0	Validation	BDC	SY	27.5	113	27.4											0.567320847	1.246634919	1.971223199	1.564111406
1_429_2020	2020	1_429	1	429	1_429	C			1.2296	0.66001	0.22956	0.51513	517	18.935	12.627					240150392		146	6	6	0	0	0	Validation	BDA	SY	22	114	27.7											0.566776068	1.482660534	1.585965185	1.564830203
1_350_2020	2020	1_350	1	350	1_350	D			1.1593	0.67438	0.15931	0.48285	519	18.709	12.832					212110278	240150390	131	6	6	0	0	0	Validation	BCC	ASY	25	115	27.5	20.25	115	27								0.564619078	1.469934151	1.334481908	1.565253902
1_81_2020	2020	1_81	1	81	1_81	E			1.1879	0.64145	0.1879	0.62728	490	19.93	12.354					240150377	281174102	137	6	6	6	64.7	0	CortDose	Control	ASY	23.25	115	27.7	20	121	28.5				2	3	0	5	0.571851331	1.622982246	1.447651633	1.566996187
2_35_2020	2020	2_35	2	35	2_35	D			1.2621	0.73305	0.26211	0.36417	457	17.674	13.177					281174509	281128516	139	6	6	6	60.5	0	CortDose	Control	SY	22	116	28.6	19	119	29.1				1	5	0	6	0.576479367	1.333997981	1.715845686	1.567819099
1_366_2020	2020	1_366	1	366	1_366	B			1.1057	0.75799	0.10567	0.31929	439	17.351	13.436					278172150		137	5	5	0	0	0	Validation	BDC	ASY	22.5	117	28.4											0.548503192	1.321347847	1.169936569	1.573421992
2_29_2020	2020	2_29	2	29	2_29	D			1.2117	0.69641	0.21172	0.43594	512	18.279	12.905					272107361	272107257	140	6	5	5	54.1	0	CortDose	Control	ASY	22.5	117	28.4	19.5	122	28.5				5	0	0	5	0.593960909	1.421762845	1.400319901	1.575929327
1_134_2021	2021	1_134	1	134	1_134	C			1.3339	0.6504	0.3339	0.5375	417	19.367	13.466					281174009		159	5	0			1	Long_Control	None	SY	18	120	27.6											0.563842986	1.507262217	5.723380003	1.576388145
1_104_2020	2020	1_104	1	104	1_104	C			1.2782	0.6152	0.2782	0.6255	288	20	12.594					281174516	281128435	145	5	0	0	0	0	CortDose	Cort	SY	22	115	29	21	114	29.3								0.59762591	1.591835638	1.499541774	1.580306891
2_21_2020	2020	2_21	2	21	2_21	D			1.2241	0.69594	0.22414	0.43691	311	18.475	12.937					281128562	281128656	147	6	5	5	36.2	0	CortDose	Control	SY	21.5	114	29	21	123	29.8				2	2	0	4	0.564078578	1.413594954	1.658410734	1.590640931
