uby	nband	Exp_Year	cap_date	mass	bhead	fwing	fate	fate_num
1_393_2019	281128668	2019	20-Jun-19	14	23.3	40	Fledged	1
1_393_2019	281128669	2019	20-Jun-19	14.75	24.6	41	Fledged	1
1_393_2019	281128670	2019	20-Jun-19	13.5	23.2	39	Died	0
1_308_2019	281128671	2019	20-Jun-19	15	23.4	47	Fledged	1
1_308_2019	281128672	2019	20-Jun-19	16.5	24.4	48	Fledged	1
1_308_2019	281128673	2019	20-Jun-19	19	26	50	Fledged	1
1_308_2019	281128674	2019	20-Jun-19	15	29.4	46	Fledged	1
1_308_2019	281128675	2019	20-Jun-19	17.5	24	48	Fledged	1
1_308_2019	281128676	2019	20-Jun-19	17.75	25.5	51	Fledged	1
1_349_2019	281128714	2019	10-Jun-19	22	26.3	54	Fledged	1
1_349_2019	281128715	2019	10-Jun-19	23.75	26.1	59	Fledged	1
2_119_2019	281128774	2019	04-Jul-19	23	24.1	61	Fledged	1
2_119_2019	281128775	2019	04-Jul-19	24.5	25.5	60	Died	0
2_119_2019	281128776	2019	04-Jul-19	23.75	24.1	61	Fledged	1
2_119_2019	281128777	2019	04-Jul-19	19.25	23.9	50	Fledged	1
2_50_2019	281128778	2019	05-Jul-19	22	25.5	59	Died	0
2_50_2019	281128779	2019	05-Jul-19	22.25	25.3	55	Died	0
2_50_2019	281128780	2019	05-Jul-19	18	24.7	43.5	Fledged	1
2_50_2019	281128781	2019	05-Jul-19	21	25.5	55	Fledged	1
2_50_2019	281128782	2019	05-Jul-19	21	24.8	55	Fledged	1
1_79_2019	281128783	2019	05-Jul-19	21	26.4	55.1	Fledged	1
1_79_2019	281128784	2019	05-Jul-19	22.5	24.4	64	Fledged	1
1_79_2019	281128785	2019	05-Jul-19	22	26	57	Fledged	1
1_79_2019	281128786	2019	05-Jul-19	21.5	26	60	Fledged	1
1_79_2019	281128787	2019	05-Jul-19	20.25	25.8	52	Fledged	1
1_19_2019	281128788	2019	09-Jul-19	22.75	26.1	54	Unknown	NA
1_19_2019	281128789	2019	09-Jul-19	21.5	25.9	45	Unknown	NA
1_19_2019	281128790	2019	09-Jul-19	19.75	25.2	53	Unknown	NA
1_329_2019	281128814	2019	24-Jun-19	22	25.5	51	Fledged	1
1_329_2019	281128815	2019	24-Jun-19	22.5	25.7	53	Fledged	1
1_329_2019	281128816	2019	24-Jun-19	23.25	26.4	58	Fledged	1
1_329_2019	281128817	2019	24-Jun-19	24.5	26.2	57	Fledged	1
1_305_2019	278172240	2019	12-Jun-19	22	26.3	56	Fledged	1
1_305_2019	278172241	2019	12-Jun-19	21	26.5	55	Fledged	1
1_305_2019	278172242	2019	12-Jun-19	22.25	26.2	56	Fledged	1
1_305_2019	278172243	2019	12-Jun-19	21.5	25.9	53	Fledged	1
1_305_2019	278172244	2019	12-Jun-19	23	26.5	58	Fledged	1
1_305_2019	278172245	2019	12-Jun-19	22.75	26.3	56	Fledged	1
1_380_2019	278172246	2019	12-Jun-19	24	26.9	62	Fledged	1
1_380_2019	278172247	2019	12-Jun-19	24	25.9	51	Fledged	1
1_380_2019	278172248	2019	12-Jun-19	23.25	25.8	59	Fledged	1
1_380_2019	278172249	2019	12-Jun-19	21.5	26	60	Fledged	1
1_380_2019	278172250	2019	12-Jun-19	23.75	26.4	58	Fledged	1
1_380_2019	278172251	2019	12-Jun-19	23	26.4	61	Fledged	1
1_363_2019	278172252	2019	12-Jun-19	22	26	56	Fledged	1
1_363_2019	278172253	2019	12-Jun-19	23.5	26.1	60	Fledged	1
1_363_2019	278172254	2019	12-Jun-19	23.75	26.6	57	Fledged	1
1_363_2019	278172255	2019	12-Jun-19	24.25	26.7	50	Fledged	1
1_306_2019	278172256	2019	13-Jun-19	19.5	26	49	Fledged	1
1_306_2019	278172257	2019	13-Jun-19	19	25.3	52	Fledged	1
1_306_2019	278172258	2019	13-Jun-19	20	25.7	51	Fledged	1
1_306_2019	278172259	2019	13-Jun-19	21	26.2	53	Fledged	1
1_306_2019	278172260	2019	13-Jun-19	19	26.2	54	Fledged	1
1_306_2019	278172261	2019	13-Jun-19	19.5	26	46	Died	0
1_421_2019	278172262	2019	13-Jun-19	20.5	25.9	55	Fledged	1
1_421_2019	278172263	2019	13-Jun-19	21.25	25.5	60	Fledged	1
1_421_2019	278172264	2019	13-Jun-19	22.5	24.5	52	Fledged	1
2_116_2019	278172277	2019	14-Jun-19	17.5	24.4	46	Fledged	1
2_116_2019	278172278	2019	14-Jun-19	15.5	24.5	50	Fledged	1
2_116_2019	278172279	2019	14-Jun-19	16.5	25.6	51	Fledged	1
2_116_2019	278172280	2019	14-Jun-19	15.5	23.8	23.48	Fledged	1
2_116_2019	278172281	2019	14-Jun-19	19.25	25.1	51.5	Fledged	1
1_360_2019	281128406	2019	17-Jun-19	15.75	25.4	48	Fledged	1
1_360_2019	281128407	2019	17-Jun-19	17.5	25	55	Fledged	1
1_360_2019	281128408	2019	17-Jun-19	17.5	24.9	49	Fledged	1
1_360_2019	281128409	2019	17-Jun-19	18	25.2	52	Fledged	1
1_360_2019	281128410	2019	17-Jun-19	17	25.3	50	Fledged	1
1_301_2019	281128411	2019	18-Jun-19	17.25	23.3	38	Died	0
1_301_2019	281128412	2019	18-Jun-19	18	25.5	47	Fledged	1
1_301_2019	281128413	2019	18-Jun-19	16.5	24.3	42	Fledged	1
1_301_2019	281128415	2019	18-Jun-19	17	24.2	40	Died	0
1_301_2019	281128417	2019	18-Jun-19	12.5	23	25.5	Fledged	1
1_302_2019	281128418	2019	18-Jun-19	14.5	23.2	38	Fledged	1
1_302_2019	281128419	2019	18-Jun-19	18	23.7	43	Fledged	1
1_302_2019	281128420	2019	18-Jun-19	14.5	24.1	37	Fledged	1
1_302_2019	281128421	2019	18-Jun-19	15.5	23.5	36.5	Fledged	1
1_302_2019	281128422	2019	18-Jun-19	16.25	23.8	42	Fledged	1
1_302_2019	281128423	2019	18-Jun-19	14.75	23.2	40	Fledged	1
